Site,Lat,Lon,O1 amp,O1 phase (deg UT),P1 amp,P1 phase (deg UT),Q1 amp,Q1 phase (deg UT),S2 amp,S2 phase (deg UT),N2 amp,N2 phase (deg UT),K2 amp,K2 phase (deg UT)
Point Atkinson,49.334000000000003,-123.25,48.299999999999997,263.19999999999999,26.800000000000001,283.10000000000002,7.7000000000000002,258.80000000000001,22.899999999999999,59.899999999999999,18.399999999999999,2.8999999999999999,6.2000000000000002,59.899999999999999
Winchelsea Islands,49.299999999999997,-124.083,47.700000000000003,263.5,27.399999999999999,286.19999999999999,8.0,257.39999999999998,23.600000000000001,62.0,20.600000000000001,5.5999999999999996,6.4000000000000004,64.599999999999994
Little River,49.744,-124.91800000000001,49.259999999999998,263.94,28.620000000000001,285.67000000000002,8.3800000000000008,257.19999999999999,25.02,61.600000000000001,21.640000000000001,5.4199999999999999,6.7999999999999998,62.560000000000002
Twin Islets,50.029000000000003,-124.93600000000001,49.289999999999999,264.24000000000001,28.620000000000001,286.97000000000003,7.8899999999999997,258.58999999999997,25.82,64.799999999999997,21.82,9.1199999999999992,6.9199999999999999,63.659999999999997
Campbell River,50.042000000000002,-125.247,48.460000000000001,263.74000000000001,24.600000000000001,280.56999999999999,8.0800000000000001,252.38999999999999,20.27,43.600000000000001,19.199999999999999,2.8199999999999998,5.4199999999999999,49.759999999999998
Seymour Narrows,50.134999999999998,-125.34699999999999,41.270000000000003,254.53999999999999,21.280000000000001,271.47000000000003,7.25,244.99000000000001,30.27,339.60000000000002,20.48,290.51999999999998,8.2899999999999991,333.06
Owen Bay,50.311,-125.223,38.189999999999998,251.34,20.969999999999999,267.47000000000003,6.3700000000000001,244.88999999999999,27.52,339.60000000000002,17.890000000000001,290.92000000000002,6.8899999999999997,335.25999999999999
Big Bay,50.393999999999998,-125.136,46.630000000000003,262.44,25.329999999999998,282.06999999999999,8.1999999999999993,224.78999999999999,19.289999999999999,35.299999999999997,15.94,346.01999999999998,4.7199999999999998,35.560000000000002
Chatham Point,50.332000000000001,-125.441,37.460000000000001,249.03999999999999,20.390000000000001,265.97000000000003,5.8200000000000003,243.69,29.440000000000001,326.80000000000001,19.57,276.22000000000003,8.0500000000000007,322.36000000000001
Yorke Island,50.444000000000003,-125.97499999999999,32.159999999999997,241.03999999999999,17.100000000000001,257.67000000000002,5.3300000000000001,234.88999999999999,38.560000000000002,301.19999999999999,25.73,248.12,10.699999999999999,293.75999999999999
Alert Bay,50.588000000000001,-126.937,30.600000000000001,239.84,16.0,251.77000000000001,5.1799999999999997,231.09,40.630000000000003,290.0,26.969999999999999,237.72,11.19,279.95999999999998
Port Hardy,50.719999999999999,-127.476,29.699999999999999,233.5,15.4,245.5,5.0,224.30000000000001,42.0,281.39999999999998,27.300000000000001,227.80000000000001,10.9,276.19999999999999
Montagu Point,50.639000000000003,-126.21299999999999,31.100000000000001,237.59999999999999,16.600000000000001,251.30000000000001,5.2000000000000002,230.40000000000001,49.600000000000001,292.69999999999999,31.600000000000001,238.69999999999999,12.5,285.5
Siwash Bay,50.68,-125.76300000000001,31.300000000000001,239.40000000000001,17.100000000000001,253.19999999999999,5.2000000000000002,232.5,50.600000000000001,296.69999999999999,32.700000000000003,242.5,14.0,290.0
Winter Harbour,50.490000000000002,-128.04400000000001,27.260000000000002,231.19999999999999,13.390000000000001,242.90000000000001,4.8899999999999997,224.5,29.550000000000001,273.10000000000002,20.739999999999998,219.0,7.8700000000000001,265.80000000000001
Bella Bella,52.177,-128.11099999999999,27.800000000000001,236.19999999999999,14.199999999999999,247.19999999999999,4.9000000000000004,225.59999999999999,40.100000000000001,280.0,27.100000000000001,227.5,10.9,271.10000000000002
Tofino,49.143999999999998,-125.937,24.5,227.19999999999999,12.300000000000001,237.90000000000001,4.4000000000000004,219.59999999999999,27.899999999999999,269.5,20.300000000000001,215.59999999999999,7.5999999999999996,261.60000000000002
