#YY  MM DD hh mm WDIR WSPD GDR GST GTIME
#yr  mo dy hr mn degT m/s degT m/s hhmm
2014 12 05 15 50 118 12.6 120 15.0 1545
2014 12 05 15 40 116 12.3 999 99.0 9999
2014 12 05 15 30 113 12.3 999 99.0 9999
2014 12 05 15 20 115 12.3 110 15.0 1510
2014 12 05 15 10 114 12.0 999 99.0 9999
2014 12 05 15 00 116 12.2 999 99.0 9999
2014 12 05 14 50 117 12.0 110 15.0 1434
2014 12 05 14 40 116 12.3 999 99.0 9999
2014 12 05 14 30 116 12.2 999 99.0 9999
2014 12 05 14 20 114 11.8 110 14.0 1410
2014 12 05 14 10 114 11.2 999 99.0 9999
2014 12 05 14 00 116 11.0 999 99.0 9999
2014 12 05 13 50 115 11.0 120 13.0 1346
2014 12 05 13 40 114 10.5 999 99.0 9999
2014 12 05 13 30 112 10.7 999 99.0 9999
2014 12 05 13 20 111 10.4 120 13.0 1223
2014 12 05 13 10 110 10.2 999 99.0 9999
2014 12 05 13 00 110 10.1 999 99.0 9999
2014 12 05 12 50 108 10.1 110 13.0 1205
2014 12 05 12 40 108 10.4 999 99.0 9999
2014 12 05 12 30 114 10.4 999 99.0 9999
2014 12 05 12 20 111 10.4 110 13.0 1205
2014 12 05 12 10 109 10.7 999 99.0 9999
2014 12 05 12 00 108 10.7 999 99.0 9999
2014 12 05 11 50 111 10.5 110 14.0 1109
2014 12 05 11 40 114 10.6 999 99.0 9999
2014 12 05 11 30 112 11.0 999 99.0 9999
2014 12 05 11 20 114 11.1 110 14.0 1109
2014 12 05 11 10 112 11.3 999 99.0 9999
2014 12 05 11 00 111 10.8 999 99.0 9999
2014 12 05 10 50 113 10.9 110 13.0 1019
2014 12 05 10 40 114 10.4 999 99.0 9999
2014 12 05 10 30 109 10.7 999 99.0 9999
2014 12 05 10 20 110 10.3 110 13.0 0933
2014 12 05 10 10 112  9.8 999 99.0 9999
2014 12 05 10 00 109 10.0 999 99.0 9999
2014 12 05 09 50 112 10.4 110 13.0 0933
2014 12 05 09 40 109 10.4 999 99.0 9999
2014 12 05 09 30 112 10.3 999 99.0 9999
2014 12 05 09 20 112 10.5 110 13.0 0844
2014 12 05 09 10 116 10.0 999 99.0 9999
2014 12 05 09 00 119 10.1 999 99.0 9999
2014 12 05 08 50 117 10.1 110 13.0 0817
2014 12 05 08 40 118 10.5 999 99.0 9999
2014 12 05 08 30 114 10.5 999 99.0 9999
2014 12 05 08 20 116 10.7 110 13.0 0741
2014 12 05 08 10 114 10.2 999 99.0 9999
2014 12 05 08 00 115 10.2 999 99.0 9999
2014 12 05 07 50 113 10.9 110 13.0 0741
2014 12 05 07 40 113 10.5 999 99.0 9999
2014 12 05 07 30 116 10.7 999 99.0 9999
2014 12 05 07 20 114 10.5 110 13.0 0708
2014 12 05 07 10 113 10.8 999 99.0 9999
2014 12 05 07 00 111 10.2 999 99.0 9999
2014 12 05 06 50 111 10.0 120 13.0 0553
2014 12 05 06 40 107 10.4 999 99.0 9999
2014 12 05 06 30 109 10.6 999 99.0 9999
2014 12 05 06 20 109 10.8 120 13.0 0535
2014 12 05 06 10 107 11.0 999 99.0 9999
2014 12 05 06 00 113 11.2 999 99.0 9999
2014 12 05 05 50 114 10.9 130 14.0 0514
2014 12 05 05 40 116 11.5 999 99.0 9999
2014 12 05 05 30 118 11.4 999 99.0 9999
2014 12 05 05 20 118 11.6 130 14.0 0514
2014 12 05 05 10 122 11.3 999 99.0 9999
2014 12 05 05 00 119 10.7 999 99.0 9999
2014 12 05 04 50 119 11.2 130 14.0 0353
2014 12 05 04 40 123 11.5 999 99.0 9999
2014 12 05 04 30 125 11.3 999 99.0 9999
2014 12 05 04 20 122 11.6 130 15.0 0321
2014 12 05 04 10 124 11.8 999 99.0 9999
2014 12 05 04 00 123 12.0 999 99.0 9999
2014 12 05 03 50 124 12.4 130 15.0 0316
2014 12 05 03 40 124 12.0 999 99.0 9999
2014 12 05 03 30 124 12.4 999 99.0 9999
2014 12 05 03 20 124 12.1 130 15.0 0316
2014 12 05 03 10 123 12.0 999 99.0 9999
2014 12 05 03 00 127 11.4 999 99.0 9999
2014 12 05 02 50 123 11.6 130 14.0 0228
2014 12 05 02 40 120 11.3 999 99.0 9999
2014 12 05 02 30 124 12.0 999 99.0 9999
2014 12 05 02 20 122 11.7 110 14.0 0153
2014 12 05 02 10 121 11.7 999 99.0 9999
2014 12 05 02 00 117 11.7 999 99.0 9999
2014 12 05 01 50 116 11.6 110 14.0 0149
2014 12 05 01 40 116 11.5 999 99.0 9999
2014 12 05 01 30 116 11.7 999 99.0 9999
2014 12 05 01 20 117 11.4 120 14.0 0027
2014 12 05 01 10 115 11.2 999 99.0 9999
2014 12 05 01 00 116 11.2 999 99.0 9999
2014 12 05 00 50 118 11.4 120 15.0 2359
2014 12 05 00 40 116 11.3 999 99.0 9999
2014 12 05 00 30 120 11.5 999 99.0 9999
2014 12 05 00 20 117 11.3 120 15.0 2359
2014 12 05 00 10 118 11.8 999 99.0 9999
2014 12 05 00 00 121 12.2 999 99.0 9999
2014 12 04 23 50 124 11.8 130 14.0 2300
2014 12 04 23 40 122 11.7 999 99.0 9999
2014 12 04 23 30 127 11.9 999 99.0 9999
2014 12 04 23 20 124 11.6 120 15.0 2220
2014 12 04 23 10 126 11.9 999 99.0 9999
2014 12 04 23 00 125 11.5 999 99.0 9999
2014 12 04 22 50 125 11.6 130 15.0 2212
2014 12 04 22 40 125 11.8 999 99.0 9999
2014 12 04 22 30 123 12.1 999 99.0 9999
2014 12 04 22 20 125 12.4 130 15.0 2212
2014 12 04 22 10 124 12.0 999 99.0 9999
2014 12 04 22 00 121 11.7 999 99.0 9999
2014 12 04 21 50 120 12.3 120 14.0 2147
2014 12 04 21 40 123 11.9 999 99.0 9999
2014 12 04 21 30 123 11.7 999 99.0 9999
2014 12 04 21 20 125 11.7 120 14.0 2114
2014 12 04 21 10 120 11.5 999 99.0 9999
2014 12 04 21 00 123 11.7 999 99.0 9999
2014 12 04 20 50 121 11.7 120 14.0 1950
2014 12 04 20 40 120 11.5 999 99.0 9999
2014 12 04 20 30 118 11.5 999 99.0 9999
2014 12 04 20 20 121 11.7 120 14.0 1938
2014 12 04 20 10 118 11.9 999 99.0 9999
2014 12 04 20 00 118 11.7 999 99.0 9999
2014 12 04 19 50 117 11.9 120 14.0 1938
2014 12 04 19 40 119 11.8 999 99.0 9999
2014 12 04 19 30 119 11.8 999 99.0 9999
2014 12 04 19 20 119 11.6 120 14.0 1903
2014 12 04 19 10 119 12.0 999 99.0 9999
2014 12 04 19 00 119 11.4 999 99.0 9999
2014 12 04 18 50 118 11.0 110 14.0 1834
2014 12 04 18 40 119 11.3 999 99.0 9999
2014 12 04 18 30 117 11.4 999 99.0 9999
2014 12 04 18 20 122 11.6 120 14.0 1735
2014 12 04 18 10 119 11.2 999 99.0 9999
2014 12 04 18 00 118 11.5 999 99.0 9999
2014 12 04 17 50 118 11.1 120 14.0 1735
2014 12 04 17 40 118 11.1 999 99.0 9999
2014 12 04 17 30 115 11.1 999 99.0 9999
2014 12 04 17 20 112 11.3 110 13.0 1712
2014 12 04 17 10 114 11.0 999 99.0 9999
2014 12 04 17 00 110 11.0 999 99.0 9999
2014 12 04 16 50 115 10.8 110 13.0 1635
2014 12 04 16 40 112 11.1 999 99.0 9999
2014 12 04 16 30 113 10.8 999 99.0 9999
2014 12 04 16 20 118 10.6 120 13.0 1538
2014 12 04 16 10 115 10.7 999 99.0 9999
2014 12 04 16 00 117 10.9 999 99.0 9999
2014 12 04 15 50 116 10.8 120 13.0 1538
2014 12 04 15 40 119 11.4 999 99.0 9999
2014 12 04 15 30 116 11.1 999 99.0 9999
2014 12 04 15 20 116 10.9 120 13.0 1501
2014 12 04 15 10 118 10.8 999 99.0 9999
2014 12 04 15 00 117 10.7 999 99.0 9999
2014 12 04 14 50 116 11.4 120 13.0 1405
2014 12 04 14 40 118 11.4 999 99.0 9999
2014 12 04 14 30 119 11.1 999 99.0 9999
2014 12 04 14 20 118 11.0 120 13.0 1405
2014 12 04 14 10 117 11.2 999 99.0 9999
2014 12 04 14 00 120 10.7 999 99.0 9999
2014 12 04 13 50 121 10.4 120 13.0 1329
2014 12 04 13 40 123 10.5 999 99.0 9999
2014 12 04 13 30 124 10.7 999 99.0 9999
2014 12 04 13 20 122 10.9 110 13.0 1316
2014 12 04 13 10 121 10.5 999 99.0 9999
2014 12 04 13 00 117 10.7 999 99.0 9999
2014 12 04 12 50 117 10.9 120 13.0 1249
2014 12 04 12 40 120 10.7 999 99.0 9999
2014 12 04 12 30 120 10.7 999 99.0 9999
2014 12 04 12 20 119 10.5 120 13.0 1149
2014 12 04 12 10 116 10.8 999 99.0 9999
2014 12 04 12 00 118 10.9 999 99.0 9999
2014 12 04 11 50 115 10.9 120 13.0 1123
2014 12 04 11 40 117 10.7 999 99.0 9999
2014 12 04 11 30 115 10.5 999 99.0 9999
2014 12 04 11 20 118 10.4 110 13.0 1113
2014 12 04 11 10 117 10.3 999 99.0 9999
2014 12 04 11 00 111 10.4 999 99.0 9999
2014 12 04 10 50 110 10.2 110 13.0 0956
2014 12 04 10 40 105 10.0 999 99.0 9999
2014 12 04 10 30 108  9.7 999 99.0 9999
2014 12 04 10 20 110 10.5 130 13.0 0924
2014 12 04 10 10 114 10.2 999 99.0 9999
2014 12 04 10 00 112 10.6 999 99.0 9999
2014 12 04 09 50 113 10.1 110 14.0 0905
2014 12 04 09 40 114  9.8 999 99.0 9999
2014 12 04 09 30 117  9.7 999 99.0 9999
2014 12 04 09 20 114 10.3 110 14.0 0844
2014 12 04 09 10 113 10.6 999 99.0 9999
2014 12 04 09 00 111 11.2 999 99.0 9999
2014 12 04 08 50 108 11.3 110 14.0 0844
2014 12 04 08 40 111 10.7 999 99.0 9999
2014 12 04 08 30 118 10.3 999 99.0 9999
2014 12 04 08 20 115 10.6 110 13.0 0806
2014 12 04 08 10 111 10.7 999 99.0 9999
2014 12 04 08 00 118 10.6 999 99.0 9999
2014 12 04 07 50 116 10.1 120 13.0 0711
2014 12 04 07 40 121 10.0 999 99.0 9999
2014 12 04 07 30 119  9.9 999 99.0 9999
2014 12 04 07 20 119 10.3 120 13.0 0711
2014 12 04 07 10 115 10.2 999 99.0 9999
2014 12 04 07 00 114 10.1 999 99.0 9999
2014 12 04 06 50 113 10.4 110 13.0 0550
2014 12 04 06 40 111 10.4 999 99.0 9999
2014 12 04 06 30 110 10.3 999 99.0 9999
2014 12 04 06 20 113 10.2 110 13.0 0550
2014 12 04 06 10 111 10.3 999 99.0 9999
2014 12 04 06 00 111 11.0 999 99.0 9999
2014 12 04 05 50 109 10.6 110 13.0 0508
2014 12 04 05 40 106 10.4 999 99.0 9999
2014 12 04 05 30 106 10.6 999 99.0 9999
2014 12 04 05 20 110 10.2 110 13.0 0508
2014 12 04 05 10 113 10.6 999 99.0 9999
2014 12 04 05 00 115  9.8 999 99.0 9999
2014 12 04 04 50 115  9.8 110 13.0 0411
2014 12 04 04 40 115 10.2 999 99.0 9999
2014 12 04 04 30 115  9.8 999 99.0 9999
2014 12 04 04 20 115 10.5 120 13.0 0332
2014 12 04 04 10 115 10.5 999 99.0 9999
2014 12 04 04 00 114 10.2 999 99.0 9999
2014 12 04 03 50 113 10.5 120 13.0 0332
2014 12 04 03 40 116 10.5 999 99.0 9999
2014 12 04 03 30 117 10.6 999 99.0 9999
2014 12 04 03 20 116 11.1 110 13.0 0310
2014 12 04 03 10 114 10.7 999 99.0 9999
2014 12 04 03 00 115 10.7 999 99.0 9999
2014 12 04 02 50 118 10.7 120 13.0 0215
2014 12 04 02 40 120 10.8 999 99.0 9999
2014 12 04 02 30 120 10.9 999 99.0 9999
2014 12 04 02 20 120 10.7 120 13.0 0215
2014 12 04 02 10 118 10.3 999 99.0 9999
2014 12 04 02 00 120 10.7 999 99.0 9999
2014 12 04 01 50 119 10.6 120 13.0 0050
2014 12 04 01 40 121 10.5 999 99.0 9999
2014 12 04 01 30 122 10.3 999 99.0 9999
2014 12 04 01 20 123 10.2 110 13.0 0037
2014 12 04 01 10 124 10.2 999 99.0 9999
2014 12 04 01 00 122 10.7 999 99.0 9999
2014 12 04 00 50 123 10.8 120 14.0 2350
2014 12 04 00 40 121 11.1 999 99.0 9999
2014 12 04 00 30 120 11.0 999 99.0 9999
2014 12 04 00 20 120 11.0 120 14.0 2342
2014 12 04 00 10 123 11.6 999 99.0 9999
2014 12 04 00 00 123 11.6 999 99.0 9999
2014 12 03 23 50 123 12.0 120 15.0 2251
2014 12 03 23 40 120 11.9 999 99.0 9999
2014 12 03 23 30 119 11.5 999 99.0 9999
2014 12 03 23 20 119 11.8 120 15.0 2251
2014 12 03 23 10 121 12.5 999 99.0 9999
2014 12 03 23 00 118 12.7 999 99.0 9999
2014 12 03 22 50 121 12.7 120 15.0 2202
2014 12 03 22 40 121 12.8 999 99.0 9999
2014 12 03 22 30 121 12.1 999 99.0 9999
2014 12 03 22 20 122 12.3 120 15.0 2202
2014 12 03 22 10 124 12.2 999 99.0 9999
2014 12 03 22 00 126 12.4 999 99.0 9999
2014 12 03 21 50 127 12.5 130 15.0 2148
2014 12 03 21 40 124 12.0 999 99.0 9999
2014 12 03 21 30 122 12.4 999 99.0 9999
2014 12 03 21 20 123 12.3 120 15.0 2029
2014 12 03 21 10 124 12.2 999 99.0 9999
2014 12 03 21 00 124 12.3 999 99.0 9999
2014 12 03 20 50 123 12.3 120 15.0 2029
2014 12 03 20 40 120 12.1 999 99.0 9999
2014 12 03 20 30 122 12.1 999 99.0 9999
2014 12 03 20 20 122 11.9 130 15.0 1926
2014 12 03 20 10 122 11.9 999 99.0 9999
2014 12 03 20 00 122 11.8 999 99.0 9999
2014 12 03 19 50 121 12.2 130 15.0 1926
2014 12 03 19 40 120 12.0 999 99.0 9999
2014 12 03 19 30 122 12.3 999 99.0 9999
2014 12 03 19 20 118 11.6 130 14.0 1827
2014 12 03 19 10 117 11.7 999 99.0 9999
2014 12 03 19 00 115 11.7 999 99.0 9999
2014 12 03 18 50 116 11.3 130 14.0 1827
2014 12 03 18 40 115 11.6 999 99.0 9999
2014 12 03 18 30 116 11.9 999 99.0 9999
2014 12 03 18 20 117 12.1 110 15.0 1721
2014 12 03 18 10 114 11.9 999 99.0 9999
2014 12 03 18 00 114 12.1 999 99.0 9999
2014 12 03 17 50 115 11.9 110 15.0 1721
2014 12 03 17 40 115 12.3 999 99.0 9999
2014 12 03 17 30 115 12.7 999 99.0 9999
2014 12 03 17 20 114 12.3 110 15.0 1703
2014 12 03 17 10 114 12.5 999 99.0 9999
2014 12 03 17 00 115 12.6 999 99.0 9999
2014 12 03 16 50 112 12.1 120 14.0 1556
2014 12 03 16 40 114 11.8 999 99.0 9999
2014 12 03 16 30 116 11.5 999 99.0 9999
2014 12 03 16 20 119 11.1 120 15.0 1520
2014 12 03 16 10 115 11.7 999 99.0 9999
2014 12 03 16 00 116 12.4 999 99.0 9999
2014 12 03 15 50 118 12.0 120 16.0 1504
2014 12 03 15 40 118 12.7 999 99.0 9999
2014 12 03 15 30 118 12.5 999 99.0 9999
2014 12 03 15 20 118 13.0 120 16.0 1435
2014 12 03 15 10 119 13.1 999 99.0 9999
2014 12 03 15 00 119 13.1 999 99.0 9999
2014 12 03 14 50 116 12.8 110 17.0 1351
2014 12 03 14 40 115 13.4 999 99.0 9999
2014 12 03 14 30 116 13.1 999 99.0 9999
2014 12 03 14 20 115 13.4 110 17.0 1351
2014 12 03 14 10 117 13.3 999 99.0 9999
2014 12 03 14 00 114 13.8 999 99.0 9999
2014 12 03 13 50 115 13.5 120 18.0 1308
2014 12 03 13 40 115 13.9 999 99.0 9999
2014 12 03 13 30 116 14.0 999 99.0 9999
2014 12 03 13 20 114 14.1 120 18.0 1242
2014 12 03 13 10 116 13.7 999 99.0 9999
2014 12 03 13 00 117 13.7 999 99.0 9999
2014 12 03 12 50 118 14.3 120 18.0 1242
2014 12 03 12 40 116 14.0 999 99.0 9999
2014 12 03 12 30 115 14.2 999 99.0 9999
2014 12 03 12 20 115 14.5 110 18.0 1217
2014 12 03 12 10 113 14.5 999 99.0 9999
2014 12 03 12 00 114 14.3 999 99.0 9999
2014 12 03 11 50 113 14.2 120 17.0 1148
2014 12 03 11 40 112 13.7 999 99.0 9999
2014 12 03 11 30 114 14.0 999 99.0 9999
2014 12 03 11 20 113 13.5 120 17.0 1028
2014 12 03 11 10 111 13.5 999 99.0 9999
2014 12 03 11 00 111 13.3 999 99.0 9999
2014 12 03 10 50 114 13.7 120 17.0 1028
2014 12 03 10 40 114 13.6 999 99.0 9999
2014 12 03 10 30 113 13.9 999 99.0 9999
2014 12 03 10 20 113 13.7 120 16.0 0951
2014 12 03 10 10 113 12.8 999 99.0 9999
2014 12 03 10 00 116 13.4 999 99.0 9999
2014 12 03 09 50 116 13.3 110 17.0 0850
2014 12 03 09 40 114 13.1 999 99.0 9999
2014 12 03 09 30 113 12.9 999 99.0 9999
2014 12 03 09 20 114 13.2 120 17.0 0830
2014 12 03 09 10 110 12.9 999 99.0 9999
2014 12 03 09 00 112 13.2 999 99.0 9999
2014 12 03 08 50 113 13.3 120 17.0 0830
2014 12 03 08 40 113 14.0 999 99.0 9999
2014 12 03 08 30 113 13.8 999 99.0 9999
2014 12 03 08 20 113 13.1 120 16.0 0746
2014 12 03 08 10 115 13.0 999 99.0 9999
2014 12 03 08 00 116 13.3 999 99.0 9999
2014 12 03 07 50 115 12.9 120 16.0 0746
2014 12 03 07 40 115 12.8 999 99.0 9999
2014 12 03 07 30 113 12.4 999 99.0 9999
2014 12 03 07 20 111 11.7 110 16.0 0633
2014 12 03 07 10 114 11.6 999 99.0 9999
2014 12 03 07 00 113 11.3 999 99.0 9999
2014 12 03 06 50 113 11.6 110 17.0 0557
2014 12 03 06 40 115 12.5 999 99.0 9999
2014 12 03 06 30 117 12.9 999 99.0 9999
2014 12 03 06 20 115 13.4 110 17.0 0557
2014 12 03 06 10 116 13.4 999 99.0 9999
2014 12 03 06 00 114 14.1 999 99.0 9999
2014 12 03 05 50 114 13.9 120 17.0 0548
2014 12 03 05 40 114 13.7 999 99.0 9999
2014 12 03 05 30 111 13.7 999 99.0 9999
2014 12 03 05 20 109 13.3 110 17.0 0424
2014 12 03 05 10 107 13.6 999 99.0 9999
2014 12 03 05 00 105 12.9 999 99.0 9999
2014 12 03 04 50 107 13.3 110 18.0 0354
2014 12 03 04 40 106 13.0 999 99.0 9999
2014 12 03 04 30 106 13.5 999 99.0 9999
2014 12 03 04 20 107 14.0 120 18.0 0324
2014 12 03 04 10 108 14.0 999 99.0 9999
2014 12 03 04 00 112 14.8 999 99.0 9999
